artist,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,pop,rock,hip hop,Dance/Electronic
212,195986,False,2011,68,0.813,0.732,7,-5.636,1,0.03,0.0597,0.00137,0.0826,0.731,130.02,0.0,0.0,1.0,0.0
530,204956,True,2014,0,0.847,0.769,11,-5.761,0,0.258,0.0145,0.00012,0.0767,0.626,126.017,0.0,0.0,1.0,0.0
34,267520,True,2009,75,0.632,0.924,1,-1.802,1,0.29,0.281,0.0,0.263,0.441,86.844,0.0,0.0,1.0,0.0
719,209269,True,2017,0,0.839,0.81,5,-5.274,0,0.0568,0.501,0.0,0.117,0.814,129.014,0.0,0.0,1.0,0.0
190,213066,False,2005,75,0.648,0.931,1,-3.15,0,0.181,0.00937,0.0,0.752,0.744,153.649,0.0,0.0,1.0,0.0
392,243013,False,2008,61,0.775,0.641,1,-6.718,1,0.038,0.0327,0.0,0.18,0.305,119.974,0.0,0.0,1.0,0.0
469,196000,True,2016,62,0.916,0.804,0,-3.406,1,0.049,0.37,1.18e-05,0.0812,0.538,120.028,0.0,0.0,1.0,0.0
302,273826,False,2008,0,0.648,0.516,10,-8.869,0,0.049,0.00179,0.0,0.0772,0.0756,89.828,0.0,0.0,1.0,0.0
99,248933,False,2002,52,0.611,0.654,10,-4.823,0,0.139,0.372,0.00432,0.0926,0.609,105.922,0.0,0.0,1.0,0.0
718,228759,True,2018,77,0.861,0.603,8,-5.788,0,0.176,0.0521,0.0,0.0924,0.504,98.043,0.0,0.0,1.0,0.0
22,244466,True,2000,54,0.656,0.88,11,-5.425,0,0.143,0.0421,0.0,0.294,0.758,85.565,0.0,0.0,1.0,0.0
497,219026,True,2012,62,0.787,0.666,11,-4.475,1,0.0485,0.0409,1.91e-05,0.296,0.485,140.008,0.0,0.0,1.0,0.0
198,239026,False,2003,73,0.662,0.748,5,-3.041,0,0.268,0.688,8.43e-06,0.0841,0.535,82.331,0.0,0.0,1.0,0.0
361,234506,False,2012,70,0.695,0.869,8,-5.066,1,0.0483,0.41,0.0,0.237,0.58,124.989,0.0,0.0,1.0,0.0
425,193333,False,2015,47,0.599,0.869,0,-3.697,1,0.0789,0.0525,0.00719,0.103,0.593,108.061,0.0,0.0,1.0,0.0
190,217733,False,2004,53,0.785,0.799,11,-2.208,0,0.126,0.117,0.0,0.292,0.797,104.923,0.0,0.0,1.0,0.0
585,199938,True,2014,69,0.912,0.716,10,-4.141,0,0.0697,0.0904,0.0,0.0491,0.377,94.981,0.0,0.0,1.0,0.0
